"precinct","estimated_male","estimated_female","estimated_population"
"PRIMROSE","35661.0","30376.0","66043.0"
"PRINCE ALBERT","4949.0","5073.0","10020.0"
"PRINCE ALFRED HAMLET","20575.0","17414.0","37988.0"
"PROTEA GLEN","61572.0","66154.0","127729.0"
"PUDIMOE","16898.0","19520.0","36424.0"
"PUNZANA","7552.0","8452.0","15999.0"
"PUTFONTEIN","22280.0","20835.0","43121.0"
"QUEENSTOWN","17072.0","18812.0","35882.0"
"QUMBU","20127.0","23071.0","43206.0"
"RABIE RIDGE","64176.0","56964.0","121139.0"
"RANDBURG","21933.0","24609.0","46537.0"
"RANDFONTEIN","74985.0","74544.0","149530.0"
"RANKIN'S PASS","1414.0","1268.0","2680.0"
"RATANDA","25689.0","25983.0","51670.0"
"RAVENSMEAD","29573.0","31836.0","61418.0"
"RAWSONVILLE","6740.0","6332.0","13072.0"
"REDDERSBURG","2636.0","2946.0","5582.0"
"REDELINGHUYS","1241.0","1181.0","2421.0"
"REIGERPARK","31034.0","26910.0","57947.0"
"REITZ","12204.0","13287.0","25484.0"
"REIVILO","3656.0","3563.0","7214.0"
"RHODES","1078.0","943.0","2023.0"
"RICHARDS BAY","37778.0","38256.0","76031.0"
"RICHMOND(C)","3427.0","3306.0","6736.0"
"RICHMOND-KZN","22384.0","24238.0","46623.0"
"RIEBEECK EAST","671.0","657.0","1329.0"
"RIEBEEK WEST","8094.0","8041.0","16125.0"
"RIETBRON","790.0","839.0","1628.0"
"RIETFONTEIN","2667.0","2639.0","5305.0"
"RIETGAT","107474.0","112106.0","219571.0"
"RIETVLEI","2603.0","3027.0","5633.0"
"RITAVI","43174.0","48817.0","91987.0"
"RIVERSDALE","9729.0","10512.0","20243.0"
"RIVIERSONDEREND","3953.0","3905.0","7859.0"
"ROADSIDE","625.0","498.0","1124.0"
"ROBERTSON","17442.0","18274.0","35713.0"
"ROEDTAN","1518.0","1307.0","2823.0"
"RONDEBOSCH","7254.0","7509.0","14759.0"
"ROODEPAN","17763.0","18399.0","36166.0"
"ROODEPOORT","90623.0","89534.0","180157.0"
"ROOIBERG","2956.0","2759.0","5712.0"
"ROOSSENEKAL","4004.0","3785.0","7787.0"
"ROSEBANK","3827.0","4481.0","8308.0"
"ROSEDALE","20817.0","22131.0","42946.0"
